Nombre;Ciudad;Nombre;Email;Web;Url;
KIRO Fisioterapia;;;kiro@euskalnet.net;http://www.fisioterapia-irun.es;https://www.facebook.com/fisioterapiairun.es/;
Senide Fisioterapia;;;consulta@senidefisioterapia.com;https://www.senidefisioterapia.com;https://www.facebook.com/senidefisioterapia/;
Osasun Sport Clinic - Sergio Sukunza;;;info@ssukunza.com;http://www.ssukunza.com;https://www.facebook.com/ssukunzafans/;
Centro de Fisioterapia Henar de Frutos;;;info@fisioterapiahdf.com;http://www.fisioterapiahdf.com;https://www.facebook.com/Fisiodonostisl/;
Fisioterapia Txapeldun;;;;;https://www.facebook.com/Fisioterapia-Txapeldun-1464840287081443/;
FisioterapiaDonostia.com;;;;http://fisioterapiadonostia.com;https://www.facebook.com/fisioterapiadonostia.c0m/;
Ibon Martín Osteopatía y Fisioterapia;;Ibon;;http://www.ibonmartin.com;https://www.facebook.com/Ibon-Martín-Osteopatía-y-Fisioterapia-628683083904024/;
Gizaki Zentroa. Fisioterapia & Erizaintza.;;;gizakifisioterapia@gmail.com;http://www.gizakizentroa.com;https://www.facebook.com/Gizaki.FEZ/;
Edurne Goikoetxea Fisioterapia-Osteopatia;;;;http://www.fisioterapiaigaradonosti.es;https://www.facebook.com/Edurne-Goikoetxea-Fisioterapia-Osteopatia-309682369135774/;
FIR Fisioterapia;;;firfisioterapia@hotmail.com;;https://www.facebook.com/firfisioterapia/;
Fisioterapia eta Osasun;;;fisioerizaintza@gmail.com;http://www.olaiacastro.com;https://www.facebook.com/Fisioterapia-eta-Osasun-321424927963812/;
Atlas Fisioterapia;;;info@atlasfisio.com;http://www.atlasfisio.com;https://www.facebook.com/atlasfisioterapiazentrua/;
Fisiosport Irun Fisioterapia;;;info@fisiosportirun.com;http://www.fisiosportirun.com;https://www.facebook.com/FisiosportIrunFisioterapia/;
Fisioterapia y Rehabilitación;;;leramosv@gmail.com;;https://www.facebook.com/FisioterapeutaTrintxerpe/;
Leirekin Fisioterapia;;Leire;;;https://www.facebook.com/lereikinfisioterapia/;
Centro de fisioterapia Borja Salcedo;;Borja;;http://www.borjasalcedo.com;https://www.facebook.com/CentroFisioterapiaBorjaSalcedo/;
;;;;;https://www.facebook.com/pages/Sendai-Fisioterapia/370157519709283/;
Osteopatía Craneosacral Biodinámica y Fisioterapia;;Kontxi;kontxigar@hotmail.com;http://kontxigar.wix.com/kontxigarmendia;https://www.facebook.com/osteopatiacraneosacraldonostia/;
Eguzkilore Zentroa. Cuencos Tibetanos;;Lurdes;lurdes.azp@gmail.com;;https://www.facebook.com/eguzkilorelurdes/;
Ainhoa Ormazabal Fisioterapia;;Ainhoa;;http://www.ainhoaormazabal.com;https://www.facebook.com/Ainhoa-Ormazabal-Fisioterapia-694197290640226/;
Axon Centro de Fisioterapia;;;centrodefisioterapiaxon@gmail.com;http://www.centrodefisioterapiaxon.es;https://www.facebook.com/centrodefisioterapiaaxon/;
Stéphane Bertière;;; Osteopata;info@osteopatasansebastian.com;http://www.osteopatasansebastian.com;https://www.facebook.com/OsteopataSanSebastian/
Fisioterapia Jon Otxoa Oronoz;;;fisiojon@yahoo.es;;https://www.facebook.com/Fisioterapia-Jon-Otxoa-Oronoz-110269549060173/;
Osteoss fisioterapia y osteopatía;;;info@osteoss.com;http://www.osteoss.com;https://www.facebook.com/osteoss/;
Ainhoa estetica;;;info@ainhoa-estetica.com;http://ainhoa-estetica.com;https://www.facebook.com/ainhoaestetica.irun/;
OREKA Entrenamiento Personal - Carlos Asensio;;;info@orekaep.com;http://www.orekaep.com;https://www.facebook.com/OrekaEP/;
Parafarmacia Plaza Gipuzkoa;;;parafarmaziapg@gmail.com;http://www.parafarmaciaplazagipuzkoa.com;https://www.facebook.com/ParafarmaciaPlazaGipuzkoa/;
Fisioterapia IBAIA;;; Irún;amaiamle@hotmail.com;;https://www.facebook.com/Fisioterapia-IBAIA-Irún-356866271146031/
Scoliosis & Posture Center. Donostia-San Sebastian;;;;http://www.scoliosis.es;https://www.facebook.com/Scoliosis-Posture-Center-Donostia-San-Sebastian-1572955096077168/;
Izarne Amiano Fisioterapia y Osteopatia;;;;;https://www.facebook.com/IzarneAmianoFisioterapiayOsteopatia/;
Fisiobronquial Donosti;;;donosti@fisiobronquial.com;http://www.fisiobronquial.com;https://www.facebook.com/Fisiobronquial-Donosti-236123017062308/;
Alboka Fisioterapia Osteopatia Zentrua;;;albokafisioterapiazentrua@yahoo.es;;https://www.facebook.com/Alboka-Fisioterapia-Osteopatia-Zentrua-824071297737844/;
Albisu Fisioterapia;;;olatzoliveri@gmail.com;;https://www.facebook.com/Albisu-Fisioterapia-2073063402749343/;
Orekan Zentroa;;;orekan-nerea@hotmail.es;;https://www.facebook.com/Orekan-Zentroa-177360055672231/;
Bikide Taldea;;;;;https://www.facebook.com/Bikide-Taldea-671885989544187/;
Yale Centro de Belleza;;;;http://www.bellezayale.com;https://www.facebook.com/Yale-Centro-de-Belleza-217144598654488/;
;;;;;https://www.facebook.com/pages/Fisioterapia-Adriana-Huarte-Bascoy/629053023908453/;
;;;;;https://www.facebook.com/pages/Belkoain-Fisioterapia-Zerbitzua/1818269021734575/;
;;;;;https://www.facebook.com/pages/Arrieta-Osteopatia/220682784957935/;
Kimera Fisioterapia (Kimera Fisioterapia - Hernani);;;;;https://www.facebook.com/KimeraFisioterapiaHernani/;
Kimera Fisioterapia (Donostia - San Sebastián);;;;;https://www.facebook.com/KimeraFisioterapiaDonostia/;
Fisiolan Centro de Rehabilitación;;;;;https://www.facebook.com/Fisiolan-Centro-de-Rehabilitación-1587404024864122/;
;;;;;https://www.facebook.com/pages/Ana-Isabel-Sarasola-Tolosa/221112354920863/;
;;;;;https://www.facebook.com/pages/Haritza-Crist%C3%B3bal-Fisioterapia-Taldea/130196274045149/;
;;;;;https://www.facebook.com/pages/Onbide-Fisioterapia-Zentroa/260177650996285/;
;;;;;https://www.facebook.com/pages/Mavir/480545815463891/;
David Fisioterapia;;;jdgarciapuerto@hotmail.com;;https://www.facebook.com/David-Fisioterapia-258906444791544/;
Kiara fisioterapia;;;kiara.kontsultak@gmail.com;;https://www.facebook.com/Kiara-fisioterapia-329566581028366/;
Ammma_donostia;;;info@ammma.es;;https://www.facebook.com/Ammma_donostia-567975043728956/;
;;;;;https://www.facebook.com/pages/Asier-Illarramendi-Sagarna/1053777868016424/;
;;;;;https://www.facebook.com/pages/Centro-de-Masaje-Enrique-Aguado/207601379618396/;
Nesa Drive;;;marketing@nesadrive.com;;https://www.facebook.com/Nesa-Drive-480906835659832/;
;;;;;https://www.facebook.com/pages/Fisioterapia-Garbi%C3%B1e-Zuzaya/168221950237556/;
Kimera Fisioterapia (Kimera Fisioterapia - Astigarraga);;;;;https://www.facebook.com/KimeraFisioterapiaAstigarraga/;
;;;;;https://www.facebook.com/pages/San-Adrian-Cid-Francisco-Javier/932756483508045/;
;;;;;https://www.facebook.com/pages/Kineesis/1201719049846060/;
