Nombre,Email,Web,Url
Restaurante ANDRA MARI & co Jatetxea,info@andramarirestaurante.com,http://www.andramarirestaurante.com,https://www.facebook.com/Restaurante-ANDRA-MARI-co-Jatetxea-121233691284859/
Gatxupa,,http://www.gatxupa.com,https://www.facebook.com/gatxupa/
Restaurante Iñausti,,http://www.inausti.net,https://www.facebook.com/Restaurante-Iñausti-158395687510467/
,,,https://www.facebook.com/pages/Bar-Narrika/130061357053476/
Cueva de Lobos,,http://www.cuevadelobos.es,https://www.facebook.com/Cueva-de-Lobos-646596812076094/
,,,https://www.facebook.com/pages/Taberna-Barun/118570088241097/
,,,https://www.facebook.com/pages/Zaldundegi/128204884006068/
,,,https://www.facebook.com/pages/El-Caserio/525816844109518/
Taberna Orhi,,,https://www.facebook.com/tabernaorhi/
Bar-Restaurante Arbelaizko,arbelaizkoamara@gmail.com,,https://www.facebook.com/Bar-Restaurante-Arbelaizko-524104921018019/
Galanta,restaurantegalanta@hotmail.com,http://www.galanta.com,https://www.facebook.com/Galanta-193546774165063/
Aiton borda,,,https://www.facebook.com/aitonborda/
,,,https://www.facebook.com/pages/Bar-Igela/131615496996244/
Bar donosti,donostibargros@gmail.com,,https://www.facebook.com/Bar-donosti-1661505020801409/
U27plazacafe,u27eatandfun@gmail.com,http://www.urbieta27.com,https://www.facebook.com/u27eatandfun/
La Cuesta De Sagüess,newwarung@gmail.com,,https://www.facebook.com/lacuestadesagues/
2KN,,,https://www.facebook.com/2KNbikain/
Galtxagorri 31 de agosto - parte vieja,,,https://www.facebook.com/Galtxagorri-31-de-agosto-parte-vieja-614755281960667/
Restaurante K-BI,restaurantekbi@gmail.com,,https://www.facebook.com/restaurantekbi/
Laia Oiartzun,,https://goo.gl/maps/lSeMw,https://www.facebook.com/laiaoiartzun/
Bar cafe Anibal,,,https://www.facebook.com/Bar-cafe-Anibal-175848432598356/
Bar Bixente,,,https://www.facebook.com/barbixente/
Peregrinus,,http://ccgarbera.com/restaurant/PEREGRINUS,https://www.facebook.com/Peregrinus-1510063549296752/
,,,https://www.facebook.com/pages/Edaritegia-Txondorra/182586171756645/
Bar Txomin,,,https://www.facebook.com/Bar-Txomin-1507508189560577/
Bide Alde Jatetxea,bidealdeergoien@gmail.com,,https://www.facebook.com/Bide-Alde-Jatetxea-2011816062376265/
Intza Taberna,,,https://www.facebook.com/Intza-Taberna-131409977312010/
,,,https://www.facebook.com/pages/Bar-Juli/1185259838193172/
Txindoki Taberna GROS,txindokitabernagros@gmail.com,,https://www.facebook.com/bartxindokitaberna/
Caffe-Berri,,,https://www.facebook.com/caffeberri/
Muxarra Donostia San Sebastián,,,https://www.facebook.com/muxarra/
Pecaditos Donostia - San Sebastián,,,https://www.facebook.com/PecaditosDonostia/
Zuketz kafejatetxea,,,https://www.facebook.com/Zuketz-kafejatetxea-562160697136153/
Cafeteria restaurante Max,,,https://www.facebook.com/Cafeteria-restaurante-Max-460431224140809/
Stop,,,https://www.facebook.com/Stop-1443198259241055/
Touring BAR,touringmgf@gmail.com,,https://www.facebook.com/touringmgf/
Prost Taberna,,,https://www.facebook.com/Prost-Taberna-541277912702578/
Buenavista,info@buenavistadonostia.com,http://www.pensionbuenavista.com,https://www.facebook.com/Buenavistaigeldosansebastian/
BAR Emilio,,,https://www.facebook.com/BAR-Emilio-918601281483371/
Auñamendi,,,https://www.facebook.com/Auñamendi-287458518072684/
Ibaro's Latino,,,https://www.facebook.com/ibaros14/
Kurlinka,,,https://www.facebook.com/KurlinkaTaberna/
Larrun Coffee&Bar,larruncoffeebar@hotmail.com,,https://www.facebook.com/Larrun-CoffeeBar-544710068994964/
Satxota Sidreria,satxota@gmail.com,http://www.sidreriasatxota.com,https://www.facebook.com/SatxotaSidreria/
,,,https://www.facebook.com/Txintxua-1697297600490264/
Arkaitzak,arkaitzak@gmail.com,,https://www.facebook.com/Arkaitzak/
,,,https://www.facebook.com/pages/Lambarren/307922422679166/
Huici taberna,huicitaberna@gmail.com,,https://www.facebook.com/huicitaberna/
Txalupa,,https://txalupagastroleku.com,https://www.facebook.com/txalupagastroleku/
La Terraza,laterrazaalza@hotmail.com,http://laterraza.makro.bar,https://www.facebook.com/BarLaTerrazaAltza/
Damadá Gastroteka,damada.gastroteka@gmail.com,,https://www.facebook.com/DamadaGastro/
Donostia San Sebastián Bar Itxaropena,itxaropenabar@gmail.com,,https://www.facebook.com/BarItxaropenaSanSebastian/
KOBAK Art&cook,,,https://www.facebook.com/Kobakartandcook/
Amonaren Txokoa,,,https://www.facebook.com/Amonaren-Txokoa-642277412911603/
Gure Kaiola Dominicano,,https://twitter.com/bareuropadameun,https://www.facebook.com/bareuropa.dameunchin/
Trintxer Taberna,bartrintxertaberna@gmail.com,,https://www.facebook.com/bartrintxer/
,,,https://www.facebook.com/pages/Tierra-Y-Mar/176857282368298/
Restaurante Iñaki,inakirestirun@gmail.com,,https://www.facebook.com/Restaurante-Iñaki-328557640601593/
La tasca la Cubana,,,https://www.facebook.com/LaTascaLaCubana/
Sua Taberna,,,https://www.facebook.com/Sua-Taberna-563628190759454/
Mister Pollo Donostia,misterpollodonostia@gmail.com,,https://www.facebook.com/Mister-Pollo-Donostia-1445773319062477/
Gure Lurra,,,https://www.facebook.com/Gure-Lurra-721530501365996/
Bar Labrit,labrit1967@gmail.com,,https://www.facebook.com/BarLabrit/
Oliden Jatetxea,,http://www.olidenjatetxea.com,https://www.facebook.com/Oliden-Jatetxea-945080972276061/
,,,https://www.facebook.com/pages/Bar-Los-Serrano/292571981154883/
Izazpi Taberna,,,https://www.facebook.com/izazpitaberna/
Bar Restaurante RK de Donosti,,,https://www.facebook.com/Bar-Restaurante-RK-de-Donosti-105682772941065/
Gailur taberna,,,https://www.facebook.com/gailur.taberna/
La Señora Colombo,norasull9@gmail.com,,https://www.facebook.com/lasracolombo/
,,,https://www.facebook.com/pages/Arte-Serrano-Cadiz/530565580349653/
,,,https://www.facebook.com/pages/Bar-Lobo/1961370977269907/
,,,https://www.facebook.com/pages/Vilalua-Pulperia-Galega/168955319894945/
Kiketaberna,barkike73@gmail.com,http://barkike.es.tl,https://www.facebook.com/kiketaberna/
Garagartxokoa,garagartxokoa@gmail.com,,https://www.facebook.com/garagartxokoa/
,,,https://www.facebook.com/pages/Tximista/1505032189606688/
Bar Isabel,,http://barisabel.com,https://www.facebook.com/BarIsabel1976/
,,,https://www.facebook.com/pages/Reyes-Cat%C3%B3licos/1555643624536253/
,,,https://www.facebook.com/pages/Landare/1539721902991207/
,,,https://www.facebook.com/pages/Bodega-Donostiarra/859437364241099/
,,,https://www.facebook.com/pages/Artola/1702302326714565/
,,,https://www.facebook.com/pages/Hikamika/168086256563896/
Bar jumping,barjumping@hotmail.com,,https://www.facebook.com/Bar-jumping-781014211983271/
,,,https://www.facebook.com/GoiHerri-212832098828362/
Trabubu polikiroldegiko taberna,,,https://www.facebook.com/trabubu.urnieta/
,,,https://www.facebook.com/pages/Bar-Dastatu/615370418495726/
Extremadurako Taberna,ext.taberna@gmail.com,,https://www.facebook.com/TabernaEXT/
,,,https://www.facebook.com/pages/Martinez/325940047989631/
,,,https://www.facebook.com/pages/Urka-Mendi/774509942581820/
,,,https://www.facebook.com/pages/Bar-Itxaso/1605993029523397/
Prueba,,,https://www.facebook.com/Prueba-145739542286523/
,,,https://www.facebook.com/pages/Restaurante-Arkale/286505415317064/
,,,https://www.facebook.com/pages/Los-Caprichos/298976651015587/
Bask,,https://cursosnz.es/mkines/index.php?live_configurator_token=11b05dbf673c2f4438cbf77deeb720a7&id_employee=1&id_shop=1,https://www.facebook.com/Bask-409863109797113/
,,,https://www.facebook.com/pages/Bar-Belatz/637526452946658/
,,,https://www.facebook.com/pages/Bar-Aralar-Jatetxea/1255043541313975/
